model,theta_cell,theta_author,phi
Qwen2-0.5B-Instruct,7.989964962005615,9.382268862820505,52.62380599975586
Qwen2-0.5B-Instruct,10.806511878967285,,49.13397216796875
Qwen2-0.5B-Instruct,7.682882785797119,9.598294085889668,50.92466735839844
Qwen2-0.5B-Instruct,9.187567710876465,11.204556503190737,52.05256271362305
Qwen2-0.5B-Instruct,6.146661758422852,7.506213973303933,52.037208557128906
Qwen2-0.5B-Instruct,8.765241622924805,10.924443615139344,51.614227294921875
Qwen2-0.5B-Instruct,9.058636665344238,10.458938902446295,52.4832878112793
Qwen2-0.5B-Instruct,5.438839435577393,6.6227904758653136,51.47340393066406
Qwen2-0.5B-Instruct,9.135939598083496,10.976127656588831,51.470054626464844
Qwen2-0.5B-Instruct,7.298127174377441,8.589434164343766,50.9236946105957
Qwen2-0.5B-Instruct,7.95418643951416,8.88644494040177,52.38928985595703
Qwen2-0.5B-Instruct,7.142293930053711,8.59273314571288,50.146488189697266
Qwen2-0.5B-Instruct,7.890333652496338,9.566301479817328,50.172855377197266
Qwen2-0.5B-Instruct,8.633333206176758,10.319261533919535,50.04269790649414
Qwen2-0.5B-Instruct,8.670701026916504,10.829107834704306,49.260372161865234
Qwen2-0.5B-Instruct,6.774594783782959,8.137323452613112,49.822723388671875
Qwen2-0.5B-Instruct,9.87655258178711,11.708672275261868,49.8436164855957
Qwen2-0.5B-Instruct,7.065719127655029,8.920595886251833,47.62836837768555
Qwen2-0.5B-Instruct,9.302018165588379,11.430990934555,49.323238372802734
Qwen2-0.5B-Instruct,9.273219108581543,11.14728536700018,50.42576599121094
Qwen2-0.5B-Instruct,7.451745986938477,9.093010351470465,49.36967849731445
Qwen2-0.5B-Instruct,8.614727020263672,11.309516020166324,47.77367401123047
Qwen2-0.5B-Instruct,8.15367317199707,9.548508837029445,50.88296127319336
